InspectionId,Date,SupplierId,Material,MaterialLotId,PurchaseOrderId,Characteristic,Standard,Method,Unit,ResultValue,LSL,Nominal,USL,Result,Inspector
RI-001847,2025-11-23,SUP-001,HDPE,RM-HDPE-00048,PO-5496,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9539,0.95,0.954,0.958,Pass,Diogo Ferreira
RI-001848,2025-11-23,SUP-001,HDPE,RM-HDPE-00048,PO-5496,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,304.3233,0.0,150.0,300.0,Fail,Beatriz Costa
RI-001849,2025-11-23,SUP-001,HDPE,RM-HDPE-00048,PO-5496,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,26.6039,20.0,26.0,32.0,Pass,Elena Santos
RI-001850,2025-11-23,SUP-004,HDPE-PCR,RM-HDPE-PCR-00046,PO-5497,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3296,0.2,0.32,0.5,Pass,Beatriz Costa
RI-001851,2025-11-23,SUP-004,HDPE-PCR,RM-HDPE-PCR-00046,PO-5497,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9543,0.948,0.953,0.96,Pass,Beatriz Costa
RI-001852,2025-11-23,SUP-004,HDPE-PCR,RM-HDPE-PCR-00046,PO-5497,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,150.9403,0.0,200.0,400.0,Pass,Elena Santos
RI-001853,2025-11-23,SUP-004,HDPE-PCR,RM-HDPE-PCR-00046,PO-5497,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,2.4325,0.0,3.0,8.0,Pass,Elena Santos
RI-001854,2025-11-23,SUP-004,HDPE-PCR,RM-HDPE-PCR-00046,PO-5497,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,23.2812,18.0,24.0,30.0,Pass,Diogo Ferreira
RI-001855,2025-11-23,SUP-002,PP,RM-PP-00045,PO-5498,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,2.9696,2.0,3.0,4.5,Pass,Carlos Mendes
RI-001856,2025-11-23,SUP-002,PP,RM-PP-00045,PO-5498,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9043,0.9,0.905,0.91,Pass,Ana Silva
RI-001857,2025-11-23,SUP-002,PP,RM-PP-00045,PO-5498,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,32.107,28.0,33.0,38.0,Pass,Elena Santos
RI-001858,2025-11-23,SUP-002,PP,RM-PP-00045,PO-5498,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,115.4192,0.0,100.0,200.0,Pass,Beatriz Costa
RI-001859,2025-11-24,SUP-006,HDPE,RM-HDPE-00049,PO-5499,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.2542,0.25,0.35,0.45,Pass,Carlos Mendes
RI-001860,2025-11-24,SUP-006,HDPE,RM-HDPE-00049,PO-5499,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9542,0.95,0.954,0.958,Pass,Elena Santos
RI-001861,2025-11-24,SUP-006,HDPE,RM-HDPE-00049,PO-5499,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,137.9605,0.0,150.0,300.0,Pass,Ana Silva
RI-001862,2025-11-24,SUP-006,HDPE,RM-HDPE-00049,PO-5499,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,25.9197,20.0,26.0,32.0,Pass,Diogo Ferreira
RI-001863,2025-11-24,SUP-004,HDPE-PCR,RM-HDPE-PCR-00047,PO-5500,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3337,0.2,0.32,0.5,Pass,Beatriz Costa
RI-001864,2025-11-24,SUP-004,HDPE-PCR,RM-HDPE-PCR-00047,PO-5500,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9517,0.948,0.953,0.96,Pass,Ana Silva
RI-001865,2025-11-24,SUP-004,HDPE-PCR,RM-HDPE-PCR-00047,PO-5500,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,204.2637,0.0,200.0,400.0,Pass,Diogo Ferreira
RI-001866,2025-11-24,SUP-004,HDPE-PCR,RM-HDPE-PCR-00047,PO-5500,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,2.0714,0.0,3.0,8.0,Pass,Beatriz Costa
RI-001867,2025-11-24,SUP-004,HDPE-PCR,RM-HDPE-PCR-00047,PO-5500,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,26.17,18.0,24.0,30.0,Pass,Carlos Mendes
RI-001868,2025-11-24,SUP-001,MDPE,RM-MDPE-00044,PO-5501,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.43,0.3,0.45,0.65,Pass,Elena Santos
RI-001869,2025-11-24,SUP-001,MDPE,RM-MDPE-00044,PO-5501,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9378,0.933,0.937,0.941,Pass,Carlos Mendes
RI-001870,2025-11-24,SUP-001,MDPE,RM-MDPE-00044,PO-5501,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,138.8162,0.0,130.0,260.0,Pass,Carlos Mendes
RI-001871,2025-11-24,SUP-004,rPET,RM-rPET-00049,PO-5502,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7465,0.68,0.74,0.8,Pass,Diogo Ferreira
RI-001872,2025-11-24,SUP-004,rPET,RM-rPET-00049,PO-5502,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,50.9162,0.0,40.0,70.0,Pass,Elena Santos
RI-001873,2025-11-24,SUP-004,rPET,RM-rPET-00049,PO-5502,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,5.2439,0.0,5.0,12.0,Pass,Carlos Mendes
RI-001874,2025-11-24,SUP-004,rPET,RM-rPET-00049,PO-5502,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,1.7748,0.0,1.5,3.5,Pass,Ana Silva
RI-001875,2025-11-25,SUP-001,HDPE,RM-HDPE-00050,PO-5503,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.334,0.25,0.35,0.45,Pass,Diogo Ferreira
RI-001876,2025-11-25,SUP-001,HDPE,RM-HDPE-00050,PO-5503,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9533,0.95,0.954,0.958,Pass,Ana Silva
RI-001877,2025-11-25,SUP-001,HDPE,RM-HDPE-00050,PO-5503,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,129.5284,0.0,150.0,300.0,Pass,Carlos Mendes
RI-001878,2025-11-25,SUP-001,HDPE,RM-HDPE-00050,PO-5503,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,25.9847,20.0,26.0,32.0,Pass,Carlos Mendes
RI-001879,2025-11-25,SUP-004,HDPE-PCR,RM-HDPE-PCR-00048,PO-5504,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.355,0.2,0.32,0.5,Pass,Carlos Mendes
RI-001880,2025-11-25,SUP-004,HDPE-PCR,RM-HDPE-PCR-00048,PO-5504,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9526,0.948,0.953,0.96,Pass,Elena Santos
RI-001881,2025-11-25,SUP-004,HDPE-PCR,RM-HDPE-PCR-00048,PO-5504,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,177.0569,0.0,200.0,400.0,Pass,Elena Santos
RI-001882,2025-11-25,SUP-004,HDPE-PCR,RM-HDPE-PCR-00048,PO-5504,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,3.3999,0.0,3.0,8.0,Pass,Carlos Mendes
RI-001883,2025-11-25,SUP-004,HDPE-PCR,RM-HDPE-PCR-00048,PO-5504,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,23.0742,18.0,24.0,30.0,Pass,Carlos Mendes
RI-001884,2025-11-25,SUP-001,LDPE,RM-LDPE-00053,PO-5505,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.7823,0.5,0.75,1.1,Pass,Ana Silva
RI-001885,2025-11-25,SUP-001,LDPE,RM-LDPE-00053,PO-5505,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9214,0.918,0.922,0.926,Pass,Diogo Ferreira
RI-001886,2025-11-25,SUP-001,LDPE,RM-LDPE-00053,PO-5505,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,142.826,0.0,120.0,250.0,Pass,Ana Silva
RI-001887,2025-11-25,SUP-003,PETG,RM-PETG-00046,PO-5506,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7519,0.7,0.76,0.82,Pass,Carlos Mendes
RI-001888,2025-11-25,SUP-003,PETG,RM-PETG-00046,PO-5506,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,39.8542,0.0,40.0,60.0,Pass,Beatriz Costa
RI-001889,2025-11-25,SUP-003,PETG,RM-PETG-00046,PO-5506,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.9956,0.0,0.9,2.2,Pass,Ana Silva
RI-001890,2025-11-25,SUP-002,PP-PCR,RM-PP-PCR-00045,PO-5507,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,2.7105,1.8,2.8,4.8,Pass,Diogo Ferreira
RI-001891,2025-11-25,SUP-002,PP-PCR,RM-PP-PCR-00045,PO-5507,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.8988,0.898,0.904,0.912,Pass,Ana Silva
RI-001892,2025-11-25,SUP-002,PP-PCR,RM-PP-PCR-00045,PO-5507,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,3.0656,0.0,4.0,10.0,Pass,Beatriz Costa
RI-001893,2025-11-25,SUP-002,PP-PCR,RM-PP-PCR-00045,PO-5507,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,29.8246,24.0,30.0,36.0,Pass,Beatriz Costa
RI-001894,2025-11-25,SUP-004,rPET,RM-rPET-00050,PO-5508,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7255,0.68,0.74,0.8,Pass,Diogo Ferreira
RI-001895,2025-11-25,SUP-004,rPET,RM-rPET-00050,PO-5508,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,26.7073,0.0,40.0,70.0,Pass,Carlos Mendes
RI-001896,2025-11-25,SUP-004,rPET,RM-rPET-00050,PO-5508,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,3.4098,0.0,5.0,12.0,Pass,Beatriz Costa
RI-001897,2025-11-25,SUP-004,rPET,RM-rPET-00050,PO-5508,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,1.4864,0.0,1.5,3.5,Pass,Elena Santos
RI-001898,2025-11-26,SUP-004,HDPE-PCR,RM-HDPE-PCR-00049,PO-5509,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.289,0.2,0.32,0.5,Pass,Beatriz Costa
RI-001899,2025-11-26,SUP-004,HDPE-PCR,RM-HDPE-PCR-00049,PO-5509,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9538,0.948,0.953,0.96,Pass,Diogo Ferreira
RI-001900,2025-11-26,SUP-004,HDPE-PCR,RM-HDPE-PCR-00049,PO-5509,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,198.9867,0.0,200.0,400.0,Pass,Diogo Ferreira
RI-001901,2025-11-26,SUP-004,HDPE-PCR,RM-HDPE-PCR-00049,PO-5509,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,2.9349,0.0,3.0,8.0,Pass,Carlos Mendes
RI-001902,2025-11-26,SUP-004,HDPE-PCR,RM-HDPE-PCR-00049,PO-5509,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,25.0511,18.0,24.0,30.0,Pass,Ana Silva
RI-001903,2025-11-26,SUP-001,MDPE,RM-MDPE-00045,PO-5510,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.4811,0.3,0.45,0.65,Pass,Diogo Ferreira
RI-001904,2025-11-26,SUP-001,MDPE,RM-MDPE-00045,PO-5510,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9364,0.933,0.937,0.941,Pass,Ana Silva
RI-001905,2025-11-26,SUP-001,MDPE,RM-MDPE-00045,PO-5510,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,128.1728,0.0,130.0,260.0,Pass,Diogo Ferreira
RI-001906,2025-11-26,SUP-006,PET,RM-PET-00039,PO-5511,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7882,0.72,0.8,0.86,Pass,Diogo Ferreira
RI-001907,2025-11-26,SUP-006,PET,RM-PET-00039,PO-5511,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,30.7101,0.0,30.0,50.0,Pass,Ana Silva
RI-001908,2025-11-26,SUP-006,PET,RM-PET-00039,PO-5511,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,1.2219,0.0,0.8,2.0,Pass,Ana Silva
RI-001909,2025-11-26,SUP-006,PET,RM-PET-00039,PO-5511,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3414,1.335,1.34,1.345,Pass,Ana Silva
RI-001910,2025-11-27,SUP-005,PP,RM-PP-00046,PO-5512,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,3.1171,2.0,3.0,4.5,Pass,Carlos Mendes
RI-001911,2025-11-27,SUP-005,PP,RM-PP-00046,PO-5512,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9052,0.9,0.905,0.91,Pass,Beatriz Costa
RI-001912,2025-11-27,SUP-005,PP,RM-PP-00046,PO-5512,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,32.1112,28.0,33.0,38.0,Pass,Ana Silva
RI-001913,2025-11-27,SUP-005,PP,RM-PP-00046,PO-5512,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,69.5127,0.0,100.0,200.0,Pass,Diogo Ferreira
RI-001914,2025-11-27,SUP-002,PP-PCR,RM-PP-PCR-00046,PO-5513,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,2.6644,1.8,2.8,4.8,Pass,Diogo Ferreira
RI-001915,2025-11-27,SUP-002,PP-PCR,RM-PP-PCR-00046,PO-5513,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9038,0.898,0.904,0.912,Pass,Elena Santos
RI-001916,2025-11-27,SUP-002,PP-PCR,RM-PP-PCR-00046,PO-5513,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,3.5937,0.0,4.0,10.0,Pass,Ana Silva
RI-001917,2025-11-27,SUP-002,PP-PCR,RM-PP-PCR-00046,PO-5513,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,30.4392,24.0,30.0,36.0,Pass,Ana Silva
RI-001918,2025-11-28,SUP-007,HDPE,RM-HDPE-00051,PO-5514,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3684,0.25,0.35,0.45,Pass,Diogo Ferreira
RI-001919,2025-11-28,SUP-007,HDPE,RM-HDPE-00051,PO-5514,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9555,0.95,0.954,0.958,Pass,Beatriz Costa
RI-001920,2025-11-28,SUP-007,HDPE,RM-HDPE-00051,PO-5514,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,110.1396,0.0,150.0,300.0,Pass,Carlos Mendes
RI-001921,2025-11-28,SUP-007,HDPE,RM-HDPE-00051,PO-5514,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,27.7347,20.0,26.0,32.0,Pass,Ana Silva
RI-001922,2025-11-28,SUP-004,HDPE-PCR,RM-HDPE-PCR-00050,PO-5515,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3076,0.2,0.32,0.5,Pass,Diogo Ferreira
RI-001923,2025-11-28,SUP-004,HDPE-PCR,RM-HDPE-PCR-00050,PO-5515,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9553,0.948,0.953,0.96,Pass,Ana Silva
RI-001924,2025-11-28,SUP-004,HDPE-PCR,RM-HDPE-PCR-00050,PO-5515,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,277.9855,0.0,200.0,400.0,Pass,Ana Silva
RI-001925,2025-11-28,SUP-004,HDPE-PCR,RM-HDPE-PCR-00050,PO-5515,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,3.804,0.0,3.0,8.0,Pass,Ana Silva
RI-001926,2025-11-28,SUP-004,HDPE-PCR,RM-HDPE-PCR-00050,PO-5515,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,25.0668,18.0,24.0,30.0,Pass,Carlos Mendes
RI-001927,2025-11-28,SUP-001,LDPE,RM-LDPE-00054,PO-5516,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.7673,0.5,0.75,1.1,Pass,Carlos Mendes
RI-001928,2025-11-28,SUP-001,LDPE,RM-LDPE-00054,PO-5516,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9212,0.918,0.922,0.926,Pass,Elena Santos
RI-001929,2025-11-28,SUP-001,LDPE,RM-LDPE-00054,PO-5516,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,98.5019,0.0,120.0,250.0,Pass,Elena Santos
RI-001930,2025-11-28,SUP-003,PET,RM-PET-00040,PO-5517,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7884,0.72,0.8,0.86,Pass,Elena Santos
RI-001931,2025-11-28,SUP-003,PET,RM-PET-00040,PO-5517,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,53.3968,0.0,30.0,50.0,Fail,Elena Santos
RI-001932,2025-11-28,SUP-003,PET,RM-PET-00040,PO-5517,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,1.038,0.0,0.8,2.0,Pass,Beatriz Costa
RI-001933,2025-11-28,SUP-003,PET,RM-PET-00040,PO-5517,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3402,1.335,1.34,1.345,Pass,Carlos Mendes
RI-001934,2025-11-28,SUP-007,PP,RM-PP-00047,PO-5518,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,3.0714,2.0,3.0,4.5,Pass,Elena Santos
RI-001935,2025-11-28,SUP-007,PP,RM-PP-00047,PO-5518,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9063,0.9,0.905,0.91,Pass,Beatriz Costa
RI-001936,2025-11-28,SUP-007,PP,RM-PP-00047,PO-5518,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,32.8457,28.0,33.0,38.0,Pass,Ana Silva
RI-001937,2025-11-28,SUP-007,PP,RM-PP-00047,PO-5518,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,107.6054,0.0,100.0,200.0,Pass,Diogo Ferreira
RI-001938,2025-11-29,SUP-001,HDPE,RM-HDPE-00052,PO-5519,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.357,0.25,0.35,0.45,Pass,Diogo Ferreira
RI-001939,2025-11-29,SUP-001,HDPE,RM-HDPE-00052,PO-5519,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9525,0.95,0.954,0.958,Pass,Diogo Ferreira
RI-001940,2025-11-29,SUP-001,HDPE,RM-HDPE-00052,PO-5519,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,111.5107,0.0,150.0,300.0,Pass,Elena Santos
RI-001941,2025-11-29,SUP-001,HDPE,RM-HDPE-00052,PO-5519,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,21.794,20.0,26.0,32.0,Pass,Elena Santos
RI-001942,2025-11-29,SUP-008,Masterbatch,RM-Masterbatch-00047,PO-5520,Carrier Resin MFI,ASTM D1238,Melt Indexer,g/10min,3.1823,2.0,3.0,4.5,Pass,Elena Santos
RI-001943,2025-11-29,SUP-008,Masterbatch,RM-Masterbatch-00047,PO-5520,Pigment Dispersion,ASTM D2663 (Method A),Microscopy,rating 1-5,4.4183,3.5,4.5,5.0,Pass,Ana Silva
RI-001944,2025-11-29,SUP-008,Masterbatch,RM-Masterbatch-00047,PO-5520,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.7443,0.0,0.7,1.8,Pass,Beatriz Costa
RI-001945,2025-11-29,SUP-008,Masterbatch,RM-Masterbatch-00047,PO-5520,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,84.3355,0.0,80.0,150.0,Pass,Elena Santos
RI-001946,2025-11-29,SUP-002,PP-PCR,RM-PP-PCR-00047,PO-5521,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,2.6861,1.8,2.8,4.8,Pass,Elena Santos
RI-001947,2025-11-29,SUP-002,PP-PCR,RM-PP-PCR-00047,PO-5521,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9032,0.898,0.904,0.912,Pass,Beatriz Costa
RI-001948,2025-11-29,SUP-002,PP-PCR,RM-PP-PCR-00047,PO-5521,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,2.4889,0.0,4.0,10.0,Pass,Carlos Mendes
RI-001949,2025-11-29,SUP-002,PP-PCR,RM-PP-PCR-00047,PO-5521,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,30.6375,24.0,30.0,36.0,Pass,Diogo Ferreira
RI-001950,2025-11-30,SUP-007,HDPE,RM-HDPE-00053,PO-5522,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3717,0.25,0.35,0.45,Pass,Ana Silva
RI-001951,2025-11-30,SUP-007,HDPE,RM-HDPE-00053,PO-5522,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9544,0.95,0.954,0.958,Pass,Diogo Ferreira
RI-001952,2025-11-30,SUP-007,HDPE,RM-HDPE-00053,PO-5522,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,145.0499,0.0,150.0,300.0,Pass,Beatriz Costa
RI-001953,2025-11-30,SUP-007,HDPE,RM-HDPE-00053,PO-5522,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,25.7247,20.0,26.0,32.0,Pass,Ana Silva
RI-001954,2025-12-01,SUP-001,HDPE,RM-HDPE-00054,PO-5523,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3404,0.25,0.35,0.45,Pass,Diogo Ferreira
RI-001955,2025-12-01,SUP-001,HDPE,RM-HDPE-00054,PO-5523,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9538,0.95,0.954,0.958,Pass,Elena Santos
RI-001956,2025-12-01,SUP-001,HDPE,RM-HDPE-00054,PO-5523,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,167.0753,0.0,150.0,300.0,Pass,Elena Santos
RI-001957,2025-12-01,SUP-001,HDPE,RM-HDPE-00054,PO-5523,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,26.0025,20.0,26.0,32.0,Pass,Ana Silva
RI-001958,2025-12-01,SUP-001,MDPE,RM-MDPE-00046,PO-5524,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.4371,0.3,0.45,0.65,Pass,Beatriz Costa
RI-001959,2025-12-01,SUP-001,MDPE,RM-MDPE-00046,PO-5524,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9403,0.933,0.937,0.941,Pass,Elena Santos
RI-001960,2025-12-01,SUP-001,MDPE,RM-MDPE-00046,PO-5524,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,121.1921,0.0,130.0,260.0,Pass,Ana Silva
RI-001961,2025-12-01,SUP-008,Masterbatch,RM-Masterbatch-00048,PO-5525,Carrier Resin MFI,ASTM D1238,Melt Indexer,g/10min,2.8395,2.0,3.0,4.5,Pass,Elena Santos
RI-001962,2025-12-01,SUP-008,Masterbatch,RM-Masterbatch-00048,PO-5525,Pigment Dispersion,ASTM D2663 (Method A),Microscopy,rating 1-5,4.7735,3.5,4.5,5.0,Pass,Diogo Ferreira
RI-001963,2025-12-01,SUP-008,Masterbatch,RM-Masterbatch-00048,PO-5525,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,1.1016,0.0,0.7,1.8,Pass,Carlos Mendes
RI-001964,2025-12-01,SUP-008,Masterbatch,RM-Masterbatch-00048,PO-5525,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,66.7001,0.0,80.0,150.0,Pass,Diogo Ferreira
RI-001965,2025-12-01,SUP-003,PET,RM-PET-00041,PO-5526,Intrinsic Viscosity,ASTM D4603 / ISO 1628-5,Viscometer,dL/g,0.7981,0.72,0.8,0.86,Pass,Carlos Mendes
RI-001966,2025-12-01,SUP-003,PET,RM-PET-00041,PO-5526,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,21.85,0.0,30.0,50.0,Pass,Elena Santos
RI-001967,2025-12-01,SUP-003,PET,RM-PET-00041,PO-5526,Color / Appearance (Delta E),ASTM D2244,Colorimeter,dE,0.7675,0.0,0.8,2.0,Pass,Carlos Mendes
RI-001968,2025-12-01,SUP-003,PET,RM-PET-00041,PO-5526,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,1.3398,1.335,1.34,1.345,Pass,Diogo Ferreira
RI-001969,2025-12-01,SUP-007,PP,RM-PP-00048,PO-5527,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,3.0298,2.0,3.0,4.5,Pass,Elena Santos
RI-001970,2025-12-01,SUP-007,PP,RM-PP-00048,PO-5527,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9041,0.9,0.905,0.91,Pass,Carlos Mendes
RI-001971,2025-12-01,SUP-007,PP,RM-PP-00048,PO-5527,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,33.8513,28.0,33.0,38.0,Pass,Beatriz Costa
RI-001972,2025-12-01,SUP-007,PP,RM-PP-00048,PO-5527,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,241.2528,0.0,100.0,200.0,Fail,Ana Silva
RI-001973,2025-12-02,SUP-004,HDPE-PCR,RM-HDPE-PCR-00051,PO-5528,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.3058,0.2,0.32,0.5,Pass,Carlos Mendes
RI-001974,2025-12-02,SUP-004,HDPE-PCR,RM-HDPE-PCR-00051,PO-5528,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9532,0.948,0.953,0.96,Pass,Diogo Ferreira
