RecordSeq,Date,Process,MachineId,Shift,WorkOrder,MaterialId,MaterialLot,StartWeightKg,EndWeightKg
4984,2025-10-04,Blow Molding,ISBM-007,Shift 2,WO-5886,COR-008,COL-COR-008-059,163.68,159.68
4985,2025-10-05,Blow Molding,ISBM-007,Shift 1,WO-5887,COR-008,COL-COR-008-059,159.68,155.68
4986,2025-10-05,Blow Molding,ISBM-007,Shift 2,WO-5888,COR-008,COL-COR-008-059,155.68,151.68
4987,2025-10-06,Blow Molding,ISBM-007,  Shift 2  ,WO-5889,COR-008,COL-COR-008-059,151.68,147.68
4988,2025-10-07,Blow Molding,ISBM-007,Shift 1,WO-5890,COR-008,COL-COR-008-059,147.68,143.68
4989,2025-10-07,Blow Molding,ISBM-007,Shift 2,WO-5891,COR-001,COL-COR-001-006,42.75,38.75
4990,2025-10-08,Blow Molding,ISBM-007,Shift 2,WO-5892,COR-001,COL-COR-001-006,38.75,34.75
4991,2025-10-09,Blow Molding,ISBM-007,Shift 3,WO-5893,COR-003,COL-COR-003-010,209.6,205.6
4992,2025-10-10,Blow Molding,ISBM-007,SHIFT 3,WO-5894,COR-003,COL-COR-003-010,205.6,201.6
4993,2025-10-10,Blow Molding,ISBM-007,Shift 2,WO-5895,COR-003,COL-COR-003-010,201.6,197.6
4994,2025-10-11,Blow Molding,ISBM-007,Shift 1,WO-5896,COR-007,COL-COR-007-017,0.69,0.0
4995,2025-10-11,Blow Molding,ISBM-007,Shift 1,WO-5896,COR-007,COL-COR-007-018,139.11,135.8
4996,2025-10-12,  Blow Molding  ,ISBM-007,Shift 1,WO-5897,COR-008,COL-COR-008-059,143.68,139.68
4997,2025-10-12,Blow Molding,ISBM-007,SHIFT 2,WO-5898,COR-008,COL-COR-008-059,139.68,135.68
4998,2025-10-13,Blow Molding,ISBM-007,Shift 2,WO-5899,COR-008,COL-COR-008-059,135.68,131.68
4999,2025-10-14,Blow Molding,ISBM-007,Shift 3,WO-5900,COR-008,COL-COR-008-059,131.68,127.68
5000,2025-10-15,Blow Molding,ISBM-007,Shift 3,WO-5901,COR-008,COL-COR-008-059,127.68,123.68
5001,2025-10-15,Blow Molding,ISBM-007,Shift 2,WO-5902,COR-008,COL-COR-008-059,123.68,119.68
5002,2025-10-16,Blow Molding,ISBM-007,Shift 1,WO-5903,COR-004,COL-COR-004-012,195.77,191.77
5003,2025-10-16,Blow Molding,ISBM-007,Shift 2,WO-5904,COR-008,COL-COR-008-059,119.68,115.68
5004,2025-10-17,Blow Molding,ISBM-007,Shift 2,WO-5905,COR-008,COL-COR-008-059,115.68,111.68
5005,2025-10-18,Blow Molding,ISBM-007,Shift 3,WO-5906,COR-008,COL-COR-008-059,111.68,107.68
5006,2025-10-18,Blow Molding,ISBM-007,Shift 2,WO-5907,COR-007,COL-COR-007-018,135.8,131.8
5007,2025-10-19,Blow Molding,ISBM-007,Shift 3,WO-5908,COR-007,COL-COR-007-018,131.8,127.8
5008,2025-10-19,Blow Molding,ISBM-007,SHIFT 2,WO-5909,COR-004,COL-COR-004-012,191.77,187.77
5009,2025-10-20,Blow Molding,ISBM-007,Shift 1,WO-5910,COR-004,COL-COR-004-012,187.77,183.77
5010,2025-10-21,Blow Molding,ISBM-007,Shift 1,WO-5911,COR-007,COL-COR-007-018,127.8,123.8
5011,2025-10-21,Blow Molding,ISBM-007,Shift 2,WO-5912,COR-007,COL-COR-007-018,123.8,119.8
5012,2025-10-22,BLOW MOLDING,ISBM-007,Shift 1,WO-5913,COR-006,COL-COR-006-003,77.55,73.55
5013,2025-10-23,Blow Molding,ISBM-007,Shift 3,WO-5914,COR-006,COL-COR-006-003,73.55,69.55
5014,2025-10-23,blow molding,ISBM-007,Shift 1,WO-5915,COR-006,COL-COR-006-003,69.55,65.55
5015,2025-10-24,Blow Molding,ISBM-007,shift 1,WO-5916,COR-002,COL-COR-002-005,30.51,26.51
5016,2025-10-25,Blow Molding,ISBM-007,Shift 3,WO-5917,COR-003,COL-COR-003-010,197.6,193.6
5017,2025-10-25,Blow Molding,ISBM-007,Shift 2,WO-5918,COR-008,COL-COR-008-059,107.68,103.68
5018,2025-10-26,Blow Molding,ISBM-007,Shift 1,WO-5919,COR-008,COL-COR-008-059,103.68,99.68
5019,2025-10-26,Blow Molding,ISBM-007,Shift 2,WO-5920,COR-006,COL-COR-006-003,65.55,61.55
5020,2025-10-27,Blow Molding,ISBM-007,Shift 1,WO-5921,COR-006,COL-COR-006-003,61.55,57.55
5021,2025-10-28,Blow Molding,ISBM-007,SHIFT 3,WO-5922,COR-006,COL-COR-006-003,57.55,53.55
5022,2025-10-28,Blow Molding,ISBM-007,Shift 1,WO-5923,COR-006,COL-COR-006-003,53.55,49.55
5023,2025-10-28,Blow Molding,ISBM-007,Shift 2,WO-5924,COR-006,COL-COR-006-003,49.55,45.55
5024,2025-10-29,Blow Molding,ISBM-007,Shift 1,WO-5925,COR-002,COL-COR-002-005,26.51,22.51
5025,2025-10-30,Blow Molding,ISBM-007,Shift 3,WO-5926,COR-002,COL-COR-002-005,22.51,18.51
5026,2025-10-30,Blow Molding,ISBM-007,Shift 2,WO-5927,COR-002,COL-COR-002-005,18.51,14.51
5027,2025-10-31,Blow Molding,ISBM-007,Shift 1,WO-5928,COR-008,COL-COR-008-059,99.68,95.68
5028,2025-10-31,Blow Molding,ISBM-007,Shift 3,WO-5929,COR-003,COL-COR-003-010,193.6,189.6
5029,2025-11-01,Blow Molding,ISBM-007,Shift 2,WO-5930,COR-003,COL-COR-003-010,189.6,185.6
5030,2025-11-02,Blow Molding,ISBM-007,Shift 1,WO-5931,COR-003,COL-COR-003-010,185.6,181.6
5031,2025-11-03,Blow Molding,ISBM-007,Shift 1,WO-5932,COR-008,//,95.68,91.68
5032,2025-11-03,Blow Molding,ISBM-007,Shift 3,WO-5933,COR-008,COL-COR-008-059,91.68,87.68
5033,2025-11-04,BLOW MOLDING,ISBM-007,Shift 2,WO-5934,COR-002,COL-COR-002-005,14.51,10.51
5034,2025-11-05,  Blow Molding  ,ISBM-007,Shift 3,WO-5935,COR-004,COL-COR-004-012,183.77,179.77
5035,2025-11-06,Blow Molding,ISBM-007,Shift 3,WO-5936,COR-003,COL-COR-003-010,181.6,177.6
5036,2025-11-06,Blow Molding,ISBM-007,Shift 1,WO-5937,COR-003,COL-COR-003-010,177.6,173.6
5037,2025-11-07,Blow Molding,ISBM-007,Shift 3,WO-5938,COR-006,COL-COR-006-003,45.55,41.55
5038,2025-11-07,Blow Molding,ISBM-007,Shift 2,WO-5939,COR-006,COL-COR-006-003,41.55,37.55
5039,2025-11-08,Blow Molding,ISBM-007,Shift 1,WO-5940,COR-006,COL-COR-006-003,37.55,33.55
5040,2025-11-08,Blow Molding,ISBM-007,Shift 2,WO-5941,COR-001,COL-COR-001-006,34.75,30.75
5041,2025-11-09,Blow Molding,ISBM-007,Shift 2,WO-5942,COR-003,COL-COR-003-010,173.6,169.6
5042,2025-11-10,Blow Molding,ISBM-007,Shift 3,WO-5943,COR-002,COL-COR-002-005,10.51,6.51
5043,2025-11-10,Blow Molding,ISBM-007,SHIFT 2,WO-5944,COR-002,COL-COR-002-005,6.51,2.51
5044,2025-11-11,Blow Molding,ISBM-007,Shift 1,WO-5945,COR-007,COL-COR-007-018,119.8,115.8
5045,2025-11-12,Blow Molding,ISBM-007,Shift 3,WO-5946,COR-007,COL-COR-007-018,115.8,111.8
5046,2025-11-12,Blow Molding,ISBM-007,Shift 2,WO-5947,COR-007,COL-COR-007-018,111.8,107.8
5047,2025-11-13,Blow Molding,ISBM-007,Shift 2,WO-5948,COR-007,--,107.8,103.8
5048,2025-11-14,Blow Molding,ISBM-007,Shift 3,WO-5949,COR-007,COL-COR-007-018,103.8,99.8
5049,2025-11-14,Blow Molding,ISBM-007,Shift 2,WO-5950,COR-002,COL-COR-002-005,2.51,0.0
5050,2025-11-14,Blow Molding,ISBM-007,Shift 2,WO-5950,COR-002,COL-COR-002-006,192.92,191.43
5051,2025-11-15,Blow Molding,ISBM-007,Shift 1,WO-5951,COR-003,COL-COR-003-010,169.6,165.6
5052,2025-11-15,Blow Molding,ISBM-007,Shift 3,WO-5952,COR-003,COL-COR-003-010,165.6,161.6
5053,2025-11-16,Blow Molding,ISBM-007,Shift 3,WO-5953,COR-003,COL-COR-003-010,161.6,157.6
5054,2025-11-17,Blow Molding,ISBM-007,  Shift 2  ,WO-5954,COR-004,COL-COR-004-012,179.77,175.77
5055,2025-11-18,Blow Molding,ISBM-007,Shift 3,WO-5955,COR-004,COL-COR-004-012,175.77,171.77
5056,2025-11-18,Blow Molding,ISBM-007,Shift 2,WO-5956,COR-004,COL-COR-004-012,171.77,167.77
5057,2025-11-19,Blow Molding,ISBM-007,Shift 1,WO-5957,COR-003,COL-COR-003-010,157.6,153.6
5058,2025-11-19,blow molding,ISBM-007,Shift 2,WO-5958,COR-003,COL-COR-003-010,153.6,149.6
5059,2025-11-20,Blow Molding,ISBM-007,Shift 2,WO-5959,COR-003,COL-COR-003-010,149.6,145.6
5060,2025-11-21,Blow Molding,ISBM-007,Shift 1,WO-5960,COR-003,COL-COR-003-010,145.6,141.6
5061,2025-11-22,Blow Molding,ISBM-007,Shift 3,WO-5961,COR-005,COL-COR-005-009,74.07,70.07
5062,2025-11-22,Blow Molding,ISBM-007,Shift 2,WO-5962,COR-008,COL-COR-008-059,87.68,83.68
5063,2025-11-23,Blow Molding,ISBM-007,  Shift 3  ,WO-5963,COR-008,COL-COR-008-059,83.68,79.68
5064,2025-11-23,Blow Molding,ISBM-007,shift 2,WO-5964,COR-004,COL-COR-004-012,167.77,163.77
5065,2025-11-24,Blow Molding,ISBM-007,  Shift 2  ,WO-5965,COR-004,COL-COR-004-012,163.77,159.77
5066,2025-11-25,Blow Molding,ISBM-007,Shift 3,WO-5966,COR-004,COL-COR-004-012,159.77,155.77
5067,2025-11-25,Blow Molding,ISBM-007,Shift 2,WO-5967,COR-004,COL-COR-004-012,155.77,151.77
5068,2025-11-26,Blow Molding,ISBM-007,Shift 1,WO-5968,COR-004,n/a,151.77,147.77
5069,2025-11-27,Blow Molding,ISBM-007,Shift 1,WO-5969,COR-004,COL-COR-004-012,147.77,143.77
5070,2025-11-28,Blow Molding,ISBM-007,Shift 3,WO-5970,COR-006,COL-COR-006-003,33.55,29.55
5071,2025-11-29,Blow Molding,ISBM-007,Shift 3,WO-5971,COR-006,COL-COR-006-003,29.55,25.55
5072,2025-11-30,BLOW MOLDING,ISBM-007,Shift 3,WO-5972,COR-006,COL-COR-006-003,25.55,21.55
5073,2025-11-30,Blow Molding,ISBM-007,Shift 2,WO-5973,COR-008,COL-COR-008-059,79.68,75.68
5074,2025-12-01,Blow Molding,ISBM-007,SHIFT 1,WO-5974,COR-001,COL-COR-001-006,30.75,26.75
5075,2025-12-02,  Blow Molding  ,ISBM-007,Shift 1,WO-5975,COR-001,COL-COR-001-006,26.75,22.75
5076,2025-12-03,Blow Molding,ISBM-007,Shift 3,WO-5976,COR-001,COL-COR-001-006,22.75,18.75
5077,2025-12-03,Blow Molding,ISBM-007,Shift 2,WO-5977,COR-008,COL-COR-008-059,75.68,71.68
5078,2025-12-04,Blow Molding,ISBM-007,Shift 1,WO-5978,COR-008,COL-COR-008-059,71.68,67.68
5079,2025-12-05,Blow Molding,ISBM-007,shift 3,WO-5979,COR-003,COL-COR-003-010,141.6,137.6
5080,2025-12-05,Blow Molding,ISBM-007,Shift 2,WO-5980,COR-004,COL-COR-004-012,143.77,139.77
5081,2025-12-06,Blow Molding,ISBM-007,shift 1,WO-5981,COR-004,//,139.77,135.77
5082,2025-12-07,Blow Molding,ISBM-007,Shift 3,WO-5982,COR-003,COL-COR-003-010,137.6,133.6
5083,2025-12-07,Blow Molding,ISBM-007,Shift 3,WO-5983,COR-003,COL-COR-003-010,133.6,129.6
5084,2025-12-08,Blow Molding,ISBM-007,Shift 1,WO-5984,COR-003,COL-COR-003-010,129.6,125.6
5085,2025-12-09,Blow Molding,ISBM-007,Shift 3,WO-5985,COR-003,COL-COR-003-010,125.6,121.6
5086,2025-12-09,Blow Molding,ISBM-007,Shift 2,WO-5986,COR-003,COL-COR-003-010,121.6,117.6
5087,2025-12-10,Blow Molding,ISBM-007,Shift 1,WO-5987,COR-003,COL-COR-003-010,117.6,113.6
5088,2025-12-11,Blow Molding,ISBM-007,Shift 1,WO-5988,COR-008,COL-COR-008-059,67.68,63.68
5089,2025-12-12,Blow Molding,ISBM-007,Shift 3,WO-5989,COR-008,COL-COR-008-059,63.68,59.68
5090,2025-12-12,Blow Molding,ISBM-007,Shift 2,WO-5990,COR-008,COL-COR-008-059,59.68,55.68
5091,2025-12-13,Blow Molding,ISBM-007,Shift 3,WO-5991,COR-003,COL-COR-003-010,113.6,109.6
5092,2025-12-13,Blow Molding,ISBM-007,Shift 2,WO-5992,COR-003,COL-COR-003-010,109.6,105.6
5093,2025-12-14,Blow Molding,ISBM-007,Shift 2,WO-5993,COR-003,COL-COR-003-010,105.6,101.6
5094,2025-12-15,Blow Molding,ISBM-007,Shift 3,WO-5994,COR-007,COL-COR-007-018,99.8,95.8
5095,2025-12-15,Blow Molding,ISBM-007,Shift 2,WO-5995,COR-003,COL-COR-003-010,101.6,97.6
5096,2025-12-16,Blow Molding,ISBM-007,Shift 1,WO-5996,COR-003,COL-COR-003-010,97.6,93.6
5097,2025-12-17,Blow Molding,ISBM-007,Shift 3,WO-5997,COR-002,COL-COR-002-006,191.43,187.43
5098,2025-12-17,Blow Molding,ISBM-007,Shift 2,WO-5998,COR-008,//,55.68,51.68
5099,2025-12-18,Blow Molding,ISBM-007,Shift 1,WO-5999,COR-008,COL-COR-008-059,51.68,47.68
5100,2025-12-19,Blow Molding,ISBM-007,Shift 3,WO-6000,COR-008,COL-COR-008-059,47.68,43.68
5101,2025-12-19,Blow Molding,ISBM-007,Shift 2,WO-6001,COR-003,COL-COR-003-010,93.6,89.6
5102,2025-12-20,Blow Molding,ISBM-007,Shift 1,WO-6002,COR-003,COL-COR-003-010,89.6,85.6
5103,2025-12-21,Blow Molding,ISBM-007,Shift 1,WO-6003,COR-001,COL-COR-001-006,18.75,14.75
5104,2025-12-21,Blow Molding,ISBM-007,shift 3,WO-6004,COR-001,COL-COR-001-006,14.75,10.75
5105,2025-12-22,Blow Molding,ISBM-007,Shift 1,WO-6005,COR-002,COL-COR-002-006,187.43,183.43
5106,2025-12-23,Blow Molding,ISBM-007,Shift 3,WO-6006,COR-002,COL-COR-002-006,183.43,179.43
5107,2025-12-24,Blow Molding,ISBM-007,Shift 3,WO-6007,COR-003,COL-COR-003-010,85.6,81.6
5108,2025-12-24,blow molding,ISBM-007,  Shift 1  ,WO-6008,COR-008,COL-COR-008-059,43.68,39.68
5109,2025-12-25,Blow Molding,ISBM-007,Shift 3,WO-6009,COR-008,COL-COR-008-059,39.68,35.68
5110,2025-12-25,Blow Molding,ISBM-007,Shift 2,WO-6010,COR-008,COL-COR-008-059,35.68,31.68
5111,2025-12-26,Blow Molding,ISBM-007,Shift 1,WO-6011,COR-008,COL-COR-008-059,31.68,27.68
5112,2025-12-27,Blow Molding,ISBM-007,Shift 3,WO-6012,COR-008,COL-COR-008-059,27.68,23.68
5113,2025-12-27,Blow Molding,ISBM-007,Shift 2,WO-6013,COR-001,COL-COR-001-006,10.75,6.75
5114,2025-12-28,Blow Molding,ISBM-007,Shift 2,WO-6014,COR-003,COL-COR-003-010,81.6,77.6
5115,2025-12-29,Blow Molding,ISBM-007,Shift 3,WO-6015,COR-003,COL-COR-003-010,77.6,73.6
5116,2025-12-29,Blow Molding,ISBM-007,Shift 2,WO-6016,COR-003,COL-COR-003-010,73.6,69.6
5117,2025-12-30,Blow Molding,ISBM-007,shift 2,WO-6017,COR-003,COL-COR-003-010,69.6,65.6
5118,2025-12-31,Blow Molding,ISBM-007,Shift 1,WO-6018,COR-003,COL-COR-003-010,65.6,61.6
5119,2025-12-31,Blow Molding,ISBM-007,Shift 2,WO-6019,COR-006,COL-COR-006-003,21.55,17.55
5120,2026-01-01,Blow Molding,ISBM-007,Shift 2,WO-6020,COR-001,COL-COR-001-006,6.75,2.75
5121,2026-01-02,Blow Molding,ISBM-007,Shift 1,WO-6021,COR-004,COL-COR-004-012,135.77,131.77
5122,2026-01-03,blow molding,ISBM-007,Shift 3,WO-6022,COR-004,COL-COR-004-012,131.77,127.77
5123,2026-01-03,Blow Molding,ISBM-007,Shift 3,WO-6023,COR-007,COL-COR-007-018,95.8,91.8
5124,2026-01-04,Blow Molding,ISBM-007,Shift 2,WO-6024,COR-002,COL-COR-002-006,179.43,175.43
5125,2026-01-05,Blow Molding,ISBM-007,Shift 3,WO-6025,COR-002,COL-COR-002-006,175.43,171.43
5126,2026-01-05,Blow Molding,ISBM-007,Shift 2,WO-6026,COR-004,COL-COR-004-012,127.77,123.77
5127,2026-01-06,Blow Molding,ISBM-007,Shift 1,WO-6027,COR-003,,61.6,57.6
5128,2026-01-07,Blow Molding,ISBM-007,Shift 1,WO-6028,COR-003,COL-COR-003-010,57.6,53.6
5129,2026-01-07,Blow Molding,ISBM-007,Shift 2,WO-6029,COR-003,COL-COR-003-010,53.6,49.6
5130,2026-01-08,Blow Molding,ISBM-007,Shift 1,WO-6030,COR-002,COL-COR-002-006,171.43,167.43
5131,2026-01-08,Blow Molding,ISBM-007,Shift 2,WO-6031,COR-008,COL-COR-008-059,23.68,19.68
5132,2026-01-09,Blow Molding,ISBM-007,Shift 1,WO-6032,COR-002,COL-COR-002-006,167.43,163.43
5133,2026-01-10,  Blow Molding  ,ISBM-007,SHIFT 3,WO-6033,COR-008,COL-COR-008-059,19.68,15.68
5134,2026-01-11,Blow Molding,ISBM-007,Shift 3,WO-6034,COR-008,COL-COR-008-059,15.68,11.68
5135,2026-01-11,Blow Molding,ISBM-007,Shift 2,WO-6035,COR-008,COL-COR-008-059,11.68,7.68
5136,2026-01-12,Blow Molding,ISBM-007,  Shift 1  ,WO-6036,COR-004,COL-COR-004-012,123.77,119.77
5137,2026-01-13,Blow Molding,ISBM-007,Shift 1,WO-6037,COR-004,COL-COR-004-012,119.77,115.77
5138,2026-01-14,Blow Molding,ISBM-007,Shift 1,WO-6038,COR-002,COL-COR-002-006,163.43,159.43
5139,2026-01-14,Blow Molding,ISBM-007,  Shift 2  ,WO-6039,COR-003,COL-COR-003-010,49.6,45.6
5140,2026-01-15,Blow Molding,ISBM-007,Shift 1,WO-6040,COR-003,COL-COR-003-010,45.6,41.6
5141,2026-01-16,Blow Molding,ISBM-007,Shift 3,WO-6041,COR-003,COL-COR-003-010,41.6,37.6
5142,2026-01-16,Blow Molding,ISBM-007,Shift 2,WO-6042,COR-003,COL-COR-003-010,37.6,33.6
5143,2026-01-17,blow molding,ISBM-007,Shift 1,WO-6043,COR-003,COL-COR-003-010,33.6,29.6
5144,2026-01-17,Blow Molding,ISBM-007,Shift 2,WO-6044,COR-003,COL-COR-003-010,29.6,25.6
5145,2026-01-18,Blow Molding,ISBM-007,Shift 1,WO-6045,COR-007,COL-COR-007-018,91.8,87.8
5146,2026-01-19,Blow Molding,ISBM-007,Shift 3,WO-6046,COR-007,COL-COR-007-018,87.8,83.8
5147,2026-01-19,blow molding,ISBM-007,Shift 2,WO-6047,COR-008,---,7.68,3.68
5148,2026-01-20,Blow Molding,ISBM-007,shift 1,WO-6048,COR-005,COL-COR-005-009,70.07,66.07
5149,2026-01-21,Blow Molding,ISBM-007,shift 3,WO-6049,COR-005,//,66.07,62.07
5150,2026-01-21,Blow Molding,ISBM-007,Shift 1,WO-6050,COR-005,COL-COR-005-009,62.07,58.07
5151,2026-01-22,Blow Molding,ISBM-007,Shift 3,WO-6051,COR-008,COL-COR-008-059,3.68,0.0
5152,2026-01-22,Blow Molding,ISBM-007,SHIFT 3,WO-6051,COR-008,COL-COR-008-060,228.18,227.86
5153,2026-01-22,  Blow Molding  ,ISBM-007,Shift 2,WO-6052,COR-002,COL-COR-002-006,159.43,155.43
5154,2026-01-23,Blow Molding,ISBM-007,Shift 1,WO-6053,COR-002,COL-COR-002-006,155.43,151.43
5155,2026-01-24,Blow Molding,ISBM-007,Shift 1,WO-6054,COR-002,COL-COR-002-006,151.43,147.43
5156,2026-01-24,Blow Molding,ISBM-007,Shift 2,WO-6055,COR-002,COL-COR-002-006,147.43,143.43
5157,2026-01-25,  Blow Molding  ,ISBM-007,Shift 1,WO-6056,COR-002,COL-COR-002-006,143.43,139.43
5158,2026-01-26,Blow Molding,ISBM-007,Shift 1,WO-6057,COR-002,COL-COR-002-006,139.43,135.43
5159,2026-01-27,Blow Molding,ISBM-007,Shift 3,WO-6058,COR-008,COL-COR-008-060,227.86,223.86
5160,2026-01-27,Blow Molding,ISBM-007,  Shift 2  ,WO-6059,COR-008,COL-COR-008-060,223.86,219.86
5161,2026-01-28,Blow Molding,ISBM-007,Shift 1,WO-6060,COR-003,COL-COR-003-010,25.6,21.6
5162,2026-01-28,Blow Molding,ISBM-007,Shift 3,WO-6061,COR-003,COL-COR-003-010,21.6,17.6
5163,2026-01-29,Blow Molding,ISBM-007,Shift 2,WO-6062,COR-003,,17.6,13.6
5164,2026-01-30,Blow Molding,ISBM-007,Shift 1,WO-6063,COR-002,COL-COR-002-006,135.43,131.43
5165,2026-01-31,Blow Molding,ISBM-007,Shift 3,WO-6064,COR-002,COL-COR-002-006,131.43,127.43
5166,2026-01-31,Blow Molding,ISBM-007,Shift 1,WO-6065,COR-003,COL-COR-003-010,13.6,9.6
5167,2026-02-01,Blow Molding,ISBM-007,  Shift 3  ,WO-6066,COR-001,COL-COR-001-006,2.75,0.0
5168,2026-02-01,Blow Molding,ISBM-007,shift 3,WO-6066,COR-001,COL-COR-001-007,158.04,156.78
5169,2026-02-02,Blow Molding,ISBM-007,Shift 3,WO-6067,COR-001,COL-COR-001-007,156.78,152.78
5170,2026-02-02,Blow Molding,ISBM-007,Shift 2,WO-6068,COR-003,COL-COR-003-010,9.6,5.6
5171,2026-02-03,Blow Molding,ISBM-007,Shift 2,WO-6069,COR-003,COL-COR-003-010,5.6,1.6
5172,2026-02-04,Blow Molding,ISBM-007,Shift 1,WO-6070,COR-007,COL-COR-007-018,83.8,79.8
5173,2026-02-05,Blow Molding,ISBM-007,Shift 3,WO-6071,COR-004,COL-COR-004-012,115.77,111.77
5174,2026-02-05,Blow Molding,ISBM-007,Shift 2,WO-6072,COR-004,COL-COR-004-012,111.77,107.77
5175,2026-02-06,Blow Molding,ISBM-007,Shift 2,WO-6073,COR-002,COL-COR-002-006,127.43,123.43
5176,2026-02-07,Blow Molding,ISBM-007,Shift 1,WO-6074,COR-002,COL-COR-002-006,123.43,119.43
5177,2026-02-08,Blow Molding,ISBM-007,Shift 3,WO-6075,COR-002,COL-COR-002-006,119.43,115.43
5178,2026-02-08,blow molding,ISBM-007,Shift 3,WO-6076,COR-004,COL-COR-004-012,107.77,103.77
5179,2026-02-09,Blow Molding,ISBM-007,Shift 2,WO-6077,COR-004,COL-COR-004-012,103.77,99.77
5180,2026-02-10,Blow Molding,ISBM-007,Shift 1,WO-6078,COR-004,COL-COR-004-012,99.77,95.77
5181,2026-02-11,Blow Molding,ISBM-007,Shift 3,WO-6079,COR-003,COL-COR-003-010,1.6,0.0
5182,2026-02-11,blow molding,ISBM-007,Shift 3,WO-6079,COR-003,COL-COR-003-011,208.46,206.06
5183,2026-02-11,blow molding,ISBM-007,Shift 2,WO-6080,COR-003,COL-COR-003-011,206.06,202.06
5184,2026-02-12,Blow Molding,ISBM-007,Shift 1,WO-6081,COR-008,COL-COR-008-060,219.86,215.86
5185,2026-02-13,BLOW MOLDING,ISBM-007,Shift 3,WO-6082,COR-004,COL-COR-004-012,95.77,91.77
5186,2026-02-14,Blow Molding,ISBM-007,Shift 3,WO-6083,COR-008,COL-COR-008-060,215.86,211.86
5187,2026-02-14,Blow Molding,ISBM-007,Shift 2,WO-6084,COR-008,COL-COR-008-060,211.86,207.86
5188,2026-02-15,Blow Molding,ISBM-007,Shift 3,WO-6085,COR-008,COL-COR-008-060,207.86,203.86
5189,2026-02-15,Blow Molding,ISBM-007,Shift 2,WO-6086,COR-003,COL-COR-003-011,202.06,198.06
5190,2026-02-16,  Blow Molding  ,ISBM-007,Shift 1,WO-6087,COR-003,COL-COR-003-011,198.06,194.06
5191,2026-02-17,BLOW MOLDING,ISBM-007,Shift 3,WO-6088,COR-003,n/a,194.06,190.06
5192,2026-02-18,Blow Molding,ISBM-007,Shift 3,WO-6089,COR-005,COL-COR-005-009,58.07,54.07
5193,2026-02-18,Blow Molding,ISBM-007,Shift 2,WO-6090,COR-008,COL-COR-008-060,203.86,199.86
5194,2026-02-19,Blow Molding,ISBM-007,Shift 1,WO-6091,COR-003,COL-COR-003-011,190.06,186.06
5195,2026-02-20,  Blow Molding  ,ISBM-007,Shift 3,WO-6092,COR-003,COL-COR-003-011,186.06,182.06
5196,2026-02-20,Blow Molding,ISBM-007,shift 2,WO-6093,COR-003,COL-COR-003-011,182.06,178.06
5197,2026-02-21,BLOW MOLDING,ISBM-007,Shift 2,WO-6094,COR-008,COL-COR-008-060,199.86,195.86
5198,2026-02-22,BLOW MOLDING,ISBM-007,Shift 1,WO-6095,COR-008,COL-COR-008-060,195.86,191.86
5199,2026-02-22,blow molding,ISBM-007,  Shift 3  ,WO-6096,COR-007,COL-COR-007-018,79.8,75.8
5200,2026-02-23,Blow Molding,ISBM-007,Shift 2,WO-6097,COR-002,COL-COR-002-006,115.43,111.43
5201,2026-02-24,Blow Molding,ISBM-007,Shift 2,WO-6098,COR-003,COL-COR-003-011,178.06,174.06
5202,2026-02-25,Blow Molding,ISBM-007,shift 1,WO-6099,COR-003,COL-COR-003-011,174.06,170.06
5203,2026-02-25,Blow Molding,ISBM-007,Shift 2,WO-6100,COR-002,COL-COR-002-006,111.43,107.43
5204,2026-02-26,Blow Molding,ISBM-007,Shift 2,WO-6101,COR-004,COL-COR-004-012,91.77,87.77
5205,2026-02-27,Blow Molding,ISBM-007,Shift 1,WO-6102,COR-004,COL-COR-004-012,87.77,83.77
5206,2026-02-28,Blow Molding,ISBM-007,Shift 3,WO-6103,COR-008,COL-COR-008-060,191.86,187.86
5207,2026-03-01,Blow Molding,ISBM-007,Shift 3,WO-6104,COR-003,COL-COR-003-011,170.06,166.06
5208,2026-03-01,Blow Molding,ISBM-007,Shift 2,WO-6105,COR-001,COL-COR-001-007,152.78,148.78
5209,2026-03-02,Blow Molding,ISBM-007,Shift 1,WO-6106,COR-001,COL-COR-001-007,148.78,144.78
5210,2026-03-03,Blow Molding,ISBM-007,SHIFT 1,WO-6107,COR-001,COL-COR-001-007,144.78,140.78
5211,2026-03-03,Blow Molding,ISBM-007,Shift 3,WO-6108,COR-003,COL-COR-003-011,166.06,162.06
5212,2026-03-04,Blow Molding,ISBM-007,Shift 1,WO-6109,COR-003,COL-COR-003-011,162.06,158.06
5213,2026-03-05,Blow Molding,ISBM-007,Shift 3,WO-6110,COR-003,COL-COR-003-011,158.06,154.06
5214,2026-03-05,Blow Molding,ISBM-007,  Shift 1  ,WO-6111,COR-003,COL-COR-003-011,154.06,150.06
5215,2026-03-06,Blow Molding,ISBM-007,Shift 3,WO-6112,COR-003,COL-COR-003-011,150.06,146.06
5216,2026-03-06,Blow Molding,ISBM-007,Shift 3,WO-6113,COR-006,COL-COR-006-003,17.55,13.55
5217,2026-03-07,Blow Molding,ISBM-007,SHIFT 1,WO-6114,COR-006,//,13.55,9.55
5218,2026-03-08,Blow Molding,ISBM-007,Shift 1,WO-6115,COR-004,COL-COR-004-012,83.77,79.77
5219,2026-03-09,Blow Molding,ISBM-007,Shift 3,WO-6116,COR-008,COL-COR-008-060,187.86,183.86
