NCId,Date,Type,Source,Area,Process,Category,Severity,RelatedRecordId
NC-00209,2026-10-01,Internal,Lot Rejection,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-023-4093
NC-00210,2026-10-24,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-027-4114
NC-00211,2026-11-17,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-013-4130
NC-00212,2026-11-27,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-023-4138
NC-00213,2026-12-16,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-013-4153
NC-00214,2025-10-09,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-028-4238
NC-00215,2025-10-11,Internal,Lot Rejection,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-028-4240
NC-00216,2025-10-25,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-011-4252
NC-00217,2025-11-07,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-028-4260
NC-00218,2025-11-10,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-024-4262
NC-00219,2025-11-29,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-028-4277
NC-00220,2025-12-17,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-011-4292
NC-00221,2025-12-19,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-024-4294
NC-00222,2026-02-23,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-028-4349
NC-00223,2026-02-26,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-018-4350
NC-00224,2026-04-07,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-018-4380
NC-00225,2026-04-20,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-011-4390
NC-00226,2026-05-12,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-024-4406
NC-00227,2026-05-25,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-014-4418
NC-00228,2026-07-19,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-014-4455
NC-00229,2026-08-09,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-011-4471
NC-00230,2026-09-01,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-018-4490
NC-00231,2026-09-02,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-028-4492
NC-00232,2026-09-11,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-018-4500
NC-00233,2026-10-09,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-014-4519
NC-00234,2026-10-30,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-018-4535
NC-00235,2026-11-02,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-028-4537
NC-00236,2026-11-05,Internal,Lot Rejection,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-028-4539
NC-00237,2026-12-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-018-4568
NC-00238,2026-12-15,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-014-4569
NC-00239,2025-07-15,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-017-4592
NC-00240,2025-10-08,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-020-4655
NC-00241,2025-11-06,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-4680
NC-00242,2026-01-08,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-020-4732
NC-00243,2026-01-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-015-4742
NC-00244,2026-03-21,Internal,Lot Rework,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-017-4793
NC-00245,2026-04-18,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-4811
NC-00246,2026-05-11,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-020-4835
NC-00247,2026-05-21,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-017-4842
NC-00248,2026-06-27,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-017-4873
NC-00249,2026-07-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-4893
NC-00250,2026-09-16,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-017-4938
NC-00251,2026-09-28,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-4946
NC-00252,2026-11-24,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-015-4994
NC-00253,2026-11-26,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-020-4996
NC-00254,2026-12-09,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-020-5005
NC-00255,2026-12-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-015-5011
NC-00256,2026-12-23,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-020-5018
NC-00257,2025-07-03,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5028
NC-00258,2025-07-11,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-019-5034
NC-00259,2025-08-06,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5051
NC-00260,2025-08-17,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5058
NC-00261,2025-08-31,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-019-5073
NC-00262,2025-09-04,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5077
NC-00263,2025-09-15,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5086
NC-00264,2025-09-26,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5093
NC-00265,2025-10-02,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5097
NC-00266,2025-10-29,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5120
NC-00267,2025-12-04,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5147
NC-00268,2025-12-30,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5166
NC-00269,2026-01-01,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5167
NC-00270,2026-01-28,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5186
NC-00271,2026-02-20,Internal,Lot Rejection,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-019-5208
NC-00272,2026-02-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5210
NC-00273,2026-03-18,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5229
NC-00274,2026-03-20,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5230
NC-00275,2026-04-15,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-019-5251
NC-00276,2026-05-12,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5270
NC-00277,2026-06-10,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-019-5294
NC-00278,2026-07-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5314
NC-00279,2026-07-11,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5317
NC-00280,2026-08-15,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5349
NC-00281,2026-08-22,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-019-5354
NC-00282,2026-09-07,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-016-5366
NC-00283,2026-09-11,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5369
NC-00284,2026-09-15,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5373
NC-00285,2026-10-20,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5403
NC-00286,2026-12-03,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-022-5442
NC-00287,2025-07-03,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5467
NC-00288,2025-07-09,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5472
NC-00289,2025-07-11,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5475
NC-00290,2025-07-13,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5476
NC-00291,2025-07-14,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5477
NC-00292,2025-07-31,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5487
NC-00293,2025-08-04,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5490
NC-00294,2025-08-08,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5494
NC-00295,2025-08-11,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5496
NC-00296,2025-08-23,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5506
NC-00297,2025-08-26,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5511
NC-00298,2025-08-30,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5513
NC-00299,2025-09-02,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5516
NC-00300,2025-09-19,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5529
NC-00301,2025-09-28,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5535
NC-00302,2025-10-11,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5550
NC-00303,2025-10-14,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5552
NC-00304,2025-10-17,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5555
NC-00305,2025-10-20,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5557
NC-00306,2025-10-29,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5567
NC-00307,2025-11-05,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5572
NC-00308,2025-11-21,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5584
NC-00309,2025-12-03,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5593
NC-00310,2025-12-05,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5594
NC-00311,2025-12-23,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5608
NC-00312,2026-01-01,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5616
NC-00313,2026-01-14,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5628
NC-00314,2026-01-19,Internal,Lot Rejection,Production,  Injection Molding  ,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5631
NC-00315,2026-01-24,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5635
NC-00316,2026-01-26,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5637
NC-00317,2026-01-28,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5639
NC-00318,2026-02-04,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5646
NC-00319,2026-02-17,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5656
NC-00320,2026-02-24,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5662
NC-00321,2026-02-25,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5663
NC-00322,2026-03-05,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5669
NC-00323,2026-03-09,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5673
NC-00324,2026-03-12,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5675
NC-00325,2026-03-16,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5678
NC-00326,2026-03-18,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5680
NC-00327,2026-03-19,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5681
NC-00328,2026-03-21,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5682
NC-00329,2026-03-23,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5683
NC-00330,2026-04-19,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5708
NC-00331,2026-04-24,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5712
NC-00332,2026-05-05,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5722
NC-00333,2026-05-07,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5724
NC-00334,2026-05-09,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5725
NC-00335,2026-05-17,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5731
NC-00336,2026-05-28,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5739
NC-00337,2026-06-30,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5763
NC-00338,2026-07-02,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5765
NC-00339,2026-07-06,Internal,Lot Rejection,Production,INJECTION MOLDING,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5767
NC-00340,2026-07-08,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5768
NC-00341,2026-07-16,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5775
NC-00342,2026-07-23,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5779
NC-00343,2026-07-25,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5780
NC-00344,2026-08-02,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5786
NC-00345,2026-08-03,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5787
NC-00346,2026-08-05,Internal,Lot Rejection,Production,INJECTION MOLDING,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5788
NC-00347,2026-08-08,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5791
NC-00348,2026-08-20,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5802
NC-00349,2026-08-24,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5805
NC-00350,2026-08-25,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5806
NC-00351,2026-08-28,Internal,Lot Rejection,Production,injection molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5809
NC-00352,2026-09-01,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5812
NC-00353,2026-09-06,Internal,Lot Rejection,Production,  Injection Molding  ,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5816
NC-00354,2026-09-25,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5833
NC-00355,2026-09-28,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5835
NC-00356,2026-10-07,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5841
NC-00357,2026-10-25,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5856
NC-00358,2026-10-30,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5861
NC-00359,2026-11-01,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5863
NC-00360,2026-11-04,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5865
NC-00361,2026-11-09,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5868
NC-00362,2026-11-16,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5873
NC-00363,2026-11-17,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5874
NC-00364,2026-11-23,Internal,Lot Rejection,Production,injection molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5881
NC-00365,2026-12-01,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5886
NC-00366,2026-12-06,Internal,Lot Concession/Deviation,Production,injection molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5890
NC-00367,2026-12-23,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5902
NC-00368,2026-12-25,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5903
NC-00369,2026-12-30,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-001-5905
NC-00370,2025-07-06,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5911
NC-00371,2025-07-07,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5912
NC-00372,2025-07-10,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5915
NC-00373,2025-07-11,Internal,Lot Rejection,Production,injection molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5916
NC-00374,2025-07-13,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5917
NC-00375,2025-07-17,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5920
NC-00376,2025-08-02,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5930
NC-00377,2025-08-05,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5932
NC-00378,2025-08-07,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5933
NC-00379,2025-08-10,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5935
NC-00380,2025-08-11,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5936
NC-00381,2025-08-22,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5945
NC-00382,2025-08-23,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5946
NC-00383,2025-08-24,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5947
NC-00384,2025-08-29,Internal,Lot Rework,Production,  Injection Molding  ,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5950
NC-00385,2025-09-02,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5952
NC-00386,2025-09-04,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5953
NC-00387,2025-09-06,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5954
NC-00388,2025-09-06,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5955
NC-00389,2025-09-12,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5960
NC-00390,2025-09-15,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5962
NC-00391,2025-09-22,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5969
NC-00392,2025-09-25,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5971
NC-00393,2025-09-27,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5972
NC-00394,2025-10-03,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5977
NC-00395,2025-10-04,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5978
NC-00396,2025-10-05,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5979
NC-00397,2025-10-06,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5980
NC-00398,2025-10-08,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5982
NC-00399,2025-10-09,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5984
NC-00400,2025-10-13,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5988
NC-00401,2025-10-14,Internal,Lot Rejection,Production,INJECTION MOLDING,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5990
NC-00402,2025-10-16,Internal,Lot Concession/Deviation,Production,INJECTION MOLDING,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-5991
NC-00403,2025-10-17,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5992
NC-00404,2025-10-22,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5998
NC-00405,2025-10-22,Internal,Lot Rejection,Production,INJECTION MOLDING,In-Process Quality Deviation,Major,LOTE-M-INJ-002-5999
NC-00406,2025-10-25,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-6000
NC-00407,2025-10-30,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-6004
NC-00408,2025-11-01,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-6007
NC-00409,2025-11-03,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-6009
NC-00410,2025-11-04,Internal,Lot Concession/Deviation,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-6010
NC-00411,2025-11-04,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-6011
NC-00412,2025-11-06,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-6012
NC-00413,2025-11-11,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-6017
NC-00414,2025-11-15,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-6022
NC-00415,2025-11-24,Internal,Lot Rejection,Production,Injection Molding,In-Process Quality Deviation,Major,LOTE-M-INJ-002-6028
NC-00416,2025-11-24,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-6029
NC-00417,2025-12-01,Internal,Lot Rework,Production,Injection Molding,In-Process Quality Deviation,Minor,LOTE-M-INJ-002-6034
