CAPAId,OpenDate,DueDate,CloseDate,Status,CAPAType,RelatedNCId,Area,Process,Severity,RootCauseCategory,Owner,EffectivenessCheck
CAPA-4180,2026-06-12,2026-08-02,2026-06-23,Closed,Corrective,NC-00277,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4181,2026-07-15,2026-09-06,2026-08-19,Closed,Corrective,NC-00279,Production,  Blow Molding  ,Major,Mold/Tooling,Sandra Reis,Not Effective
CAPA-4182,2026-08-24,2026-10-22,,Overdue,Corrective,NC-00281,Production,Blow Molding,Major,Mold/Tooling,Patrícia Lima,Effective
CAPA-4183,2026-09-16,2026-11-01,,Overdue,Preventive,NC-00283,Production,Blow Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4184,2026-09-20,2026-10-28,,Overdue,Corrective,NC-00284,Production,Blow Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4185,2025-07-11,2025-08-20,2025-09-01,Closed,Preventive,NC-00288,Production,  Injection Molding  ,Major,Method/Procedure,Sandra Reis,Pending
CAPA-4186,2025-07-15,2025-08-26,2025-08-26,Closed,Corrective,NC-00289,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4187,2025-07-17,2025-08-30,2025-09-05,Closed,Preventive,NC-00290,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4188,2025-07-17,2025-09-03,2025-08-15,Closed,Corrective,NC-00291,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Effective
CAPA-4189,2025-08-02,2025-09-27,2025-08-18,Closed,Corrective,NC-00292,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4190,2025-08-09,2025-10-07,2025-09-08,Closed,Corrective,NC-00293,Production,Injection Molding,Major,Mold/Tooling,Patrícia Lima,Not Effective
CAPA-4191,2025-08-15,2025-09-07,2025-09-15,Closed,Preventive,NC-00295,Production,Injection Molding,Major,Man (Operator),Ana Silva,Pending
CAPA-4192,2025-08-24,2025-09-27,2025-09-23,Closed,Preventive,NC-00296,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Not Effective
CAPA-4193,2025-08-31,2025-10-07,2025-10-11,Closed,Corrective,NC-00297,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Pending
CAPA-4194,2025-09-04,2025-10-02,2025-10-09,Closed,Preventive,NC-00299,Production,Injection Molding,Major,Method/Procedure,Carlos Mendes,Not Effective
CAPA-4195,2025-10-13,2025-12-10,2025-12-03,Closed,Corrective,NC-00302,Production,Injection Molding,Major,Raw Material,Elena Santos,Not Effective
CAPA-4196,2025-10-15,2025-11-18,,Overdue,Preventive,NC-00303,Production,Injection Molding,Major,Raw Material,Ana Silva,Not Effective
CAPA-4197,2025-10-21,2025-11-26,,Overdue,Preventive,NC-00304,Production,Injection Molding,Major,Method/Procedure,Elena Santos,Not Effective
CAPA-4198,2025-10-21,2025-11-13,,Overdue,Corrective,NC-00305,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Effective
CAPA-4199,2025-11-02,2025-12-12,,Overdue,Corrective,NC-00306,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Pending
CAPA-4200,2025-11-08,2025-12-27,2025-12-19,Closed,Corrective,NC-00307,Production,Injection Molding,Major,Man (Operator),Elena Santos,Effective
CAPA-4201,2025-12-25,2026-01-19,2026-01-04,Closed,Preventive,NC-00311,Production,Injection Molding,Major,Raw Material,Elena Santos,Pending
CAPA-4202,2026-01-28,2026-02-20,,Overdue,Corrective,NC-00315,Production,Injection Molding,Major,Method/Procedure,Sandra Reis,Pending
CAPA-4203,2026-02-01,2026-03-14,2026-03-08,Closed,Preventive,NC-00317,Production,Injection Molding,Major,Method/Procedure,Sandra Reis,Effective
CAPA-4204,2026-02-18,2026-03-20,,Overdue,Preventive,NC-00319,Production,  Injection Molding  ,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4205,2026-02-25,2026-04-14,,Overdue,Preventive,NC-00320,Production,Injection Molding,Major,Raw Material,Sandra Reis,Not Effective
CAPA-4206,2026-03-01,2026-04-06,2026-04-21,Closed,Preventive,NC-00321,Production,Injection Molding,Major,Man (Operator),Ana Silva,Effective
CAPA-4207,2026-03-15,2026-05-02,2026-04-18,Closed,Corrective,NC-00324,Production,Injection Molding,Major,Raw Material,Sandra Reis,Effective
CAPA-4208,2026-03-17,2026-04-28,2026-05-04,Closed,Corrective,NC-00325,Production,Injection Molding,Major,Mold/Tooling,Carlos Mendes,Pending
CAPA-4209,2026-03-23,2026-04-15,2026-05-12,Closed,Preventive,NC-00326,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Not Effective
CAPA-4210,2026-03-22,2026-05-09,2026-05-03,Closed,Preventive,NC-00327,Production,Injection Molding,Major,Mold/Tooling,Sandra Reis,Effective
CAPA-4211,2026-03-24,2026-05-18,2026-05-02,Closed,Preventive,NC-00328,Production,  Injection Molding  ,Major,Machine/Equipment,Patrícia Lima,Pending
CAPA-4212,2026-04-20,2026-05-21,,Overdue,Preventive,NC-00330,Production,Injection Molding,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4213,2026-04-28,2026-05-27,,Overdue,Corrective,NC-00331,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4214,2026-05-12,2026-06-13,2026-06-30,Closed,Corrective,NC-00333,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Pending
CAPA-4215,2026-05-21,2026-06-10,2026-06-06,Closed,Corrective,NC-00335,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Effective
CAPA-4216,2026-05-29,2026-06-20,2026-07-02,Closed,Corrective,NC-00336,Production,Injection Molding,Major,Method/Procedure,Patrícia Lima,Pending
CAPA-4217,2026-07-06,2026-08-21,2026-07-24,Closed,Preventive,NC-00338,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4218,2026-07-08,2026-09-04,2026-07-16,Closed,Preventive,NC-00339,Production,Injection Molding,Major,Raw Material,Elena Santos,Effective
CAPA-4219,2026-07-21,2026-09-05,2026-09-03,Closed,Corrective,NC-00341,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4220,2026-07-26,2026-09-01,2026-08-06,Closed,Preventive,NC-00343,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Pending
CAPA-4221,2026-08-05,2026-09-15,,Overdue,Corrective,NC-00345,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4222,2026-08-09,2026-10-05,2026-09-19,Closed,Corrective,NC-00347,Production,injection molding,Major,Man (Operator),Vitor Sousa,Effective
CAPA-4223,2026-08-23,2026-10-05,2026-10-02,Closed,Corrective,NC-00348,Production,Injection Molding,Major,Raw Material,Ana Silva,Effective
CAPA-4224,2026-08-30,2026-10-02,2026-10-18,Closed,Preventive,NC-00350,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Pending
CAPA-4225,2026-08-31,2026-09-26,2026-09-22,Closed,Corrective,NC-00351,Production,Injection Molding,Major,Method/Procedure,Sandra Reis,Pending
CAPA-4226,2026-09-04,2026-10-18,2026-09-22,Closed,Preventive,NC-00352,Production,Injection Molding,Major,Raw Material,Ana Silva,Pending
CAPA-4227,2026-09-26,2026-10-31,2026-10-28,Closed,Preventive,NC-00354,Production,Injection Molding,Major,Raw Material,Carlos Mendes,Effective
CAPA-4228,2026-10-01,2026-10-29,,Overdue,Corrective,NC-00355,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Not Effective
CAPA-4229,2026-10-11,2026-11-19,2026-11-09,Closed,Preventive,NC-00356,Production,Injection Molding,Major,Man (Operator),Elena Santos,Pending
CAPA-4230,2026-10-26,2026-12-10,2026-11-06,Closed,Corrective,NC-00357,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Pending
CAPA-4231,2026-10-31,2026-12-10,2026-12-13,Closed,Preventive,NC-00358,Production,Injection Molding,Major,Raw Material,Sandra Reis,Pending
CAPA-4232,2026-11-05,2026-12-23,,Overdue,Preventive,NC-00359,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4233,2026-11-06,2026-12-24,2026-12-10,Closed,Preventive,NC-00360,Production,Injection Molding,Major,Man (Operator),Ana Silva,Not Effective
CAPA-4234,2026-11-13,2026-12-12,2026-12-26,Closed,Corrective,NC-00361,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4235,2026-11-28,2027-01-26,2027-01-14,Closed,Corrective,NC-00364,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Pending
CAPA-4236,2026-12-03,2027-01-10,2027-01-18,Closed,Preventive,NC-00365,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Effective
CAPA-4237,2026-12-28,2027-02-10,,Open,Corrective,NC-00367,Production,Injection Molding,Major,Mold/Tooling,Elena Santos,Not Effective
CAPA-4238,2025-07-13,2025-08-14,2025-08-02,Closed,Corrective,NC-00373,Production,Injection Molding,Major,Machine/Equipment,Ana Silva,Effective
CAPA-4239,2025-07-16,2025-08-12,2025-08-24,Closed,Preventive,NC-00374,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4240,2025-08-08,2025-10-05,,Overdue,Corrective,NC-00378,Production,  Injection Molding  ,Major,Method/Procedure,Patrícia Lima,Not Effective
CAPA-4241,2025-08-28,2025-10-19,,Overdue,Corrective,NC-00383,Production,Injection Molding,Minor,Man (Operator),Patrícia Lima,Pending
CAPA-4242,2025-09-05,2025-10-09,2025-10-05,Closed,Preventive,NC-00385,Production,Injection Molding,Major,Mold/Tooling,Sandra Reis,Not Effective
CAPA-4243,2025-09-29,2025-11-20,2025-11-01,Closed,Preventive,NC-00393,Production,Injection Molding,Major,Raw Material,Sandra Reis,Effective
CAPA-4244,2025-10-05,2025-11-01,2025-11-12,Closed,Corrective,NC-00394,Production,Injection Molding,Minor,Man (Operator),Sandra Reis,Effective
CAPA-4245,2025-10-09,2025-10-29,2025-10-22,Closed,Preventive,NC-00397,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4246,2025-10-14,2025-11-17,2025-11-02,Closed,Preventive,NC-00400,Production,Injection Molding,Major,Method/Procedure,Elena Santos,Pending
CAPA-4247,2025-10-18,2025-11-19,2025-11-10,Closed,Corrective,NC-00401,Production,Injection Molding,Major,Raw Material,Carlos Mendes,Effective
CAPA-4248,2025-10-18,2025-12-14,2025-12-01,Closed,Corrective,NC-00403,Production,Injection Molding,Major,Machine/Equipment,Ana Silva,Effective
CAPA-4249,2025-10-23,2025-12-03,2025-11-01,Closed,Preventive,NC-00404,Production,Injection Molding,Major,Raw Material,Carlos Mendes,Not Effective
CAPA-4250,2025-10-30,2025-12-19,2025-12-04,Closed,Corrective,NC-00406,Production,Injection Molding,Major,Raw Material,Carlos Mendes,Not Effective
CAPA-4251,2025-10-31,2025-12-05,2025-11-26,Closed,Preventive,NC-00407,Production,Injection Molding,Major,Man (Operator),Elena Santos,Not Effective
CAPA-4252,2025-11-06,2025-11-27,2025-11-17,Closed,Corrective,NC-00408,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4253,2025-11-05,2025-12-24,2025-12-28,Closed,Corrective,NC-00409,Production,Injection Molding,Major,Man (Operator),Ana Silva,Effective
CAPA-4254,2025-11-05,2025-12-17,2025-12-05,Closed,Corrective,NC-00410,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4255,2025-11-13,2025-12-21,2025-12-05,Closed,Corrective,NC-00413,Production,Injection Molding,Minor,Man (Operator),Ana Silva,Pending
CAPA-4256,2025-11-19,2025-12-21,,Overdue,Corrective,NC-00414,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4257,2025-11-27,2026-01-10,2026-01-10,Closed,Corrective,NC-00415,Production,Injection Molding,Major,Method/Procedure,Sandra Reis,Not Effective
CAPA-4258,2025-12-13,2026-01-02,2026-01-31,Closed,Preventive,NC-00419,Production,Injection Molding,Minor,Mold/Tooling,Vitor Sousa,Not Effective
CAPA-4259,2026-01-06,2026-01-31,2026-01-19,Closed,Preventive,NC-00422,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4260,2026-01-12,2026-02-27,,Overdue,Corrective,NC-00424,Production,Injection Molding,Major,Method/Procedure,Carlos Mendes,Pending
CAPA-4261,2026-01-15,2026-02-16,,Overdue,Preventive,NC-00425,Production,INJECTION MOLDING,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4262,2026-01-19,2026-02-14,2026-02-04,Closed,Preventive,NC-00426,Production,Injection Molding,Major,Man (Operator),Ana Silva,Pending
CAPA-4263,2026-01-24,2026-02-22,,Overdue,Preventive,NC-00428,Production,Injection Molding,Major,Method/Procedure,Vitor Sousa,Not Effective
CAPA-4264,2026-02-06,2026-02-28,2026-03-23,Closed,Corrective,NC-00432,Production,Injection Molding,Major,Mold/Tooling,Patrícia Lima,Pending
CAPA-4265,2026-02-08,2026-03-18,2026-02-18,Closed,Preventive,NC-00433,Production,  Injection Molding  ,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4266,2026-03-03,2026-04-03,2026-03-12,Closed,Preventive,NC-00436,Production,  Injection Molding  ,Major,Machine/Equipment,Sandra Reis,Effective
CAPA-4267,2026-03-26,2026-05-07,2026-04-25,Closed,Corrective,NC-00439,Production,INJECTION MOLDING,Major,Machine/Equipment,Ana Silva,Effective
CAPA-4268,2026-03-27,2026-05-19,2026-05-03,Closed,Corrective,NC-00440,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4269,2026-04-07,2026-05-26,2026-04-19,Closed,Corrective,NC-00443,Production,Injection Molding,Major,Method/Procedure,Vitor Sousa,Effective
CAPA-4270,2026-04-16,2026-06-01,,Overdue,Corrective,NC-00446,Production,Injection Molding,Minor,Machine/Equipment,Ana Silva,Effective
CAPA-4271,2026-04-25,2026-05-29,2026-06-02,Closed,Corrective,NC-00447,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Effective
CAPA-4272,2026-04-24,2026-06-16,,Overdue,Preventive,NC-00448,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4273,2026-05-03,2026-05-28,,Overdue,Preventive,NC-00449,Production,Injection Molding,Minor,Method/Procedure,Ana Silva,Not Effective
CAPA-4274,2026-05-25,2026-07-19,2026-06-10,Closed,Corrective,NC-00454,Production,Injection Molding,Major,Mold/Tooling,Patrícia Lima,Not Effective
CAPA-4275,2026-05-26,2026-07-24,2026-07-04,Closed,Corrective,NC-00455,Production,Injection Molding,Major,Method/Procedure,Carlos Mendes,Not Effective
CAPA-4276,2026-06-05,2026-07-08,2026-06-20,Closed,Corrective,NC-00457,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Not Effective
CAPA-4277,2026-06-03,2026-07-25,2026-06-28,Closed,Preventive,NC-00458,Production,Injection Molding,Major,Raw Material,Sandra Reis,Pending
CAPA-4278,2026-06-10,2026-07-30,2026-06-20,Closed,Preventive,NC-00460,Production,injection molding,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4279,2026-06-22,2026-07-23,2026-08-11,Closed,Corrective,NC-00462,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4280,2026-06-21,2026-08-03,2026-06-30,Closed,Corrective,NC-00463,Production,Injection Molding,Major,Machine/Equipment,Sandra Reis,Effective
CAPA-4281,2026-06-22,2026-07-15,,Overdue,Corrective,NC-00465,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4282,2026-06-25,2026-08-04,2026-07-28,Closed,Corrective,NC-00466,Production,Injection Molding,Major,Mold/Tooling,Vitor Sousa,Effective
CAPA-4283,2026-07-06,2026-09-03,,Overdue,Preventive,NC-00469,Production,Injection Molding,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4284,2026-07-13,2026-08-19,2026-08-08,Closed,Preventive,NC-00470,Production,Injection Molding,Major,Mold/Tooling,Vitor Sousa,Effective
CAPA-4285,2026-07-19,2026-08-12,,Overdue,Corrective,NC-00473,Production,Injection Molding,Minor,Mold/Tooling,Carlos Mendes,Effective
CAPA-4286,2026-08-05,2026-09-23,,Overdue,Preventive,NC-00474,Production,Injection Molding,Minor,Man (Operator),Sandra Reis,Not Effective
CAPA-4287,2026-08-05,2026-09-23,2026-09-17,Closed,Corrective,NC-00475,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4288,2026-08-11,2026-09-20,2026-09-16,Closed,Preventive,NC-00477,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4289,2026-08-18,2026-09-13,2026-09-22,Closed,Preventive,NC-00479,Production,Injection Molding,Major,Mold/Tooling,Elena Santos,Pending
CAPA-4290,2026-08-27,2026-10-22,2026-10-02,Closed,Preventive,NC-00481,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4291,2026-08-28,2026-09-30,2026-09-08,Closed,Corrective,NC-00482,Production,Injection Molding,Minor,Man (Operator),Vitor Sousa,Effective
CAPA-4292,2026-09-02,2026-10-08,2026-09-12,Closed,Preventive,NC-00484,Production,Injection Molding,Major,Raw Material,Elena Santos,Effective
CAPA-4293,2026-09-01,2026-10-27,2026-09-23,Closed,Corrective,NC-00485,Production,Injection Molding,Major,Machine/Equipment,Carlos Mendes,Effective
CAPA-4294,2026-09-08,2026-10-17,,Overdue,Corrective,NC-00486,Production,Injection Molding,Minor,Machine/Equipment,Ana Silva,Effective
CAPA-4295,2026-09-16,2026-10-26,2026-10-31,Closed,Corrective,NC-00489,Production,Injection Molding,Major,Machine/Equipment,Sandra Reis,Effective
CAPA-4296,2026-09-14,2026-10-08,2026-09-28,Closed,Preventive,NC-00490,Production,Injection Molding,Major,Raw Material,Elena Santos,Not Effective
CAPA-4297,2026-09-18,2026-10-17,2026-10-05,Closed,Corrective,NC-00491,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4298,2026-09-28,2026-11-02,2026-10-28,Closed,Corrective,NC-00494,Production,Injection Molding,Major,Man (Operator),Vitor Sousa,Not Effective
CAPA-4299,2026-10-03,2026-11-16,2026-10-26,Closed,Preventive,NC-00495,Production,Injection Molding,Major,Machine/Equipment,Carlos Mendes,Pending
CAPA-4300,2026-10-11,2026-12-03,2026-11-21,Closed,Preventive,NC-00496,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4301,2026-10-08,2026-12-05,2026-11-16,Closed,Corrective,NC-00497,Production,Injection Molding,Major,Man (Operator),Sandra Reis,Effective
CAPA-4302,2026-10-16,2026-12-10,2026-11-16,Closed,Preventive,NC-00499,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4303,2026-10-18,2026-12-03,2026-11-02,Closed,Preventive,NC-00500,Production,Injection Molding,Major,Mold/Tooling,Vitor Sousa,Not Effective
CAPA-4304,2026-10-29,2026-12-07,2026-11-22,Closed,Preventive,NC-00502,Production,Injection Molding,Major,Man (Operator),Sandra Reis,Pending
CAPA-4305,2026-11-04,2026-12-25,,Overdue,Preventive,NC-00504,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4306,2026-11-04,2026-12-18,2026-11-18,Closed,Preventive,NC-00505,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Pending
CAPA-4307,2026-11-04,2026-12-27,,Overdue,Corrective,NC-00506,Production,Injection Molding,Major,Raw Material,Carlos Mendes,Not Effective
CAPA-4308,2026-11-11,2026-12-15,2026-11-24,Closed,Corrective,NC-00508,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Effective
CAPA-4309,2026-11-14,2026-12-12,2026-12-05,Closed,Corrective,NC-00509,Production,Injection Molding,Major,Raw Material,Sandra Reis,Not Effective
CAPA-4310,2026-12-03,2027-01-27,2027-01-25,Closed,Corrective,NC-00513,Production,Injection Molding,Major,Raw Material,Elena Santos,Effective
CAPA-4311,2026-12-05,2027-01-23,2026-12-15,Closed,Preventive,NC-00514,Production,Injection Molding,Major,Machine/Equipment,Ana Silva,Not Effective
CAPA-4312,2026-12-15,2027-02-06,2027-01-17,Closed,Preventive,NC-00515,Production,INJECTION MOLDING,Major,Raw Material,Sandra Reis,Pending
CAPA-4313,2025-07-30,2025-08-22,2025-09-18,Closed,Corrective,NC-00520,Production,Injection Molding,Major,Man (Operator),Elena Santos,Effective
CAPA-4314,2025-07-30,2025-09-20,,Overdue,Corrective,NC-00521,Production,Injection Molding,Major,Method/Procedure,Carlos Mendes,Not Effective
CAPA-4315,2025-08-15,2025-09-05,2025-09-11,Closed,Corrective,NC-00522,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4316,2025-08-27,2025-09-22,2025-09-27,Closed,Preventive,NC-00524,Production,Injection Molding,Major,Raw Material,Elena Santos,Pending
CAPA-4317,2025-09-17,2025-10-16,2025-10-23,Closed,Corrective,NC-00528,Production,Injection Molding,Major,Raw Material,Elena Santos,Not Effective
CAPA-4318,2025-10-02,2025-11-23,2025-11-14,Closed,Corrective,NC-00529,Production,Injection Molding,Major,Method/Procedure,Elena Santos,Pending
CAPA-4319,2025-10-11,2025-12-08,2025-12-03,Closed,Corrective,NC-00530,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4320,2025-10-20,2025-12-04,2025-11-04,Closed,Preventive,NC-00531,Production,Injection Molding,Major,Raw Material,Sandra Reis,Pending
CAPA-4321,2025-11-04,2025-12-25,2025-11-29,Closed,Corrective,NC-00532,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4322,2025-11-07,2025-12-03,2025-12-23,Closed,Corrective,NC-00534,Production,Injection Molding,Major,Raw Material,Elena Santos,Effective
CAPA-4323,2025-11-28,2026-01-02,2025-12-24,Closed,Corrective,NC-00538,Production,injection molding,Major,Machine/Equipment,Elena Santos,Not Effective
CAPA-4324,2025-12-28,2026-01-27,,Overdue,Corrective,NC-00543,Production,Injection Molding,Major,Man (Operator),Sandra Reis,Pending
CAPA-4325,2026-01-04,2026-02-22,2026-02-11,Closed,Corrective,NC-00544,Production,Injection Molding,Major,Machine/Equipment,Carlos Mendes,Effective
CAPA-4326,2026-01-10,2026-02-04,2026-02-18,Closed,Preventive,NC-00545,Production,Injection Molding,Major,Mold/Tooling,Elena Santos,Not Effective
CAPA-4327,2026-01-26,2026-03-02,2026-02-26,Closed,Preventive,NC-00547,Production,Injection Molding,Major,Raw Material,Carlos Mendes,Not Effective
CAPA-4328,2026-02-04,2026-03-23,2026-03-19,Closed,Preventive,NC-00548,Production,Injection Molding,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4329,2026-03-02,2026-03-25,,Overdue,Corrective,NC-00551,Production,Injection Molding,Major,Raw Material,Sandra Reis,Not Effective
CAPA-4330,2026-03-08,2026-04-20,2026-04-24,Closed,Corrective,NC-00552,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Effective
CAPA-4331,2026-03-12,2026-04-10,,Overdue,Preventive,NC-00553,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Effective
CAPA-4332,2026-03-17,2026-04-25,2026-03-29,Closed,Corrective,NC-00555,Production,Injection Molding,Major,Method/Procedure,Sandra Reis,Pending
CAPA-4333,2026-04-01,2026-05-06,2026-05-24,Closed,Preventive,NC-00556,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Pending
CAPA-4334,2026-04-02,2026-05-21,2026-04-19,Closed,Preventive,NC-00557,Production,Injection Molding,Major,Method/Procedure,Elena Santos,Not Effective
CAPA-4335,2026-04-22,2026-06-12,,Overdue,Preventive,NC-00559,Production,Injection Molding,Major,Man (Operator),Sandra Reis,Not Effective
CAPA-4336,2026-05-05,2026-06-03,2026-05-15,Closed,Corrective,NC-00560,Production,Injection Molding,Major,Mold/Tooling,Sandra Reis,Effective
CAPA-4337,2026-05-04,2026-05-30,,Overdue,Corrective,NC-00561,Production,Injection Molding,Major,Machine/Equipment,Carlos Mendes,Pending
CAPA-4338,2026-05-23,2026-06-24,,Overdue,Corrective,NC-00563,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Not Effective
CAPA-4339,2026-05-27,2026-07-16,,Overdue,Corrective,NC-00564,Production,INJECTION MOLDING,Major,Machine/Equipment,Elena Santos,Pending
CAPA-4340,2026-06-03,2026-07-02,2026-07-07,Closed,Preventive,NC-00566,Production,Injection Molding,Major,Mold/Tooling,Sandra Reis,Pending
CAPA-4341,2026-06-14,2026-08-01,2026-08-03,Closed,Preventive,NC-00568,Production,  Injection Molding  ,Major,Method/Procedure,Elena Santos,Not Effective
CAPA-4342,2026-06-21,2026-08-12,2026-07-09,Closed,Corrective,NC-00569,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Effective
CAPA-4343,2026-06-26,2026-07-24,2026-08-04,Closed,Preventive,NC-00570,Production,Injection Molding,Major,Machine/Equipment,Sandra Reis,Effective
CAPA-4344,2026-07-01,2026-07-21,2026-08-07,Closed,Preventive,NC-00571,Production,Injection Molding,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4345,2026-07-14,2026-09-08,2026-08-17,Closed,Corrective,NC-00572,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4346,2026-07-16,2026-09-08,2026-07-30,Closed,Preventive,NC-00573,Production,injection molding,Major,Method/Procedure,Sandra Reis,Pending
CAPA-4347,2026-07-25,2026-09-13,,Overdue,Preventive,NC-00574,Production,Injection Molding,Major,Mold/Tooling,Sandra Reis,Not Effective
CAPA-4348,2026-07-27,2026-08-21,2026-09-11,Closed,Preventive,NC-00575,Production,Injection Molding,Major,Man (Operator),Elena Santos,Pending
CAPA-4349,2026-08-08,2026-08-29,2026-09-12,Closed,Preventive,NC-00576,Production,Injection Molding,Major,Man (Operator),Ana Silva,Not Effective
CAPA-4350,2026-08-29,2026-10-05,2026-09-17,Closed,Preventive,NC-00578,Production,Injection Molding,Major,Method/Procedure,Vitor Sousa,Effective
CAPA-4351,2026-09-05,2026-09-25,2026-09-29,Closed,Corrective,NC-00581,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4352,2026-09-15,2026-10-05,,Overdue,Corrective,NC-00582,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Pending
CAPA-4353,2026-09-25,2026-11-23,,Overdue,Preventive,NC-00583,Production,Injection Molding,Major,Machine/Equipment,Sandra Reis,Pending
CAPA-4354,2026-10-06,2026-11-02,2026-11-04,Closed,Preventive,NC-00584,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4355,2026-11-03,2026-12-13,2026-12-04,Closed,Corrective,NC-00586,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4356,2026-11-27,2026-12-20,2027-01-01,Closed,Corrective,NC-00588,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Not Effective
CAPA-4357,2026-11-27,2026-12-26,2026-12-21,Closed,Corrective,NC-00589,Production,Injection Molding,Major,Man (Operator),Vitor Sousa,Pending
CAPA-4358,2026-12-03,2027-01-08,2027-01-26,Closed,Corrective,NC-00590,Production,Injection Molding,Major,Mold/Tooling,Carlos Mendes,Pending
CAPA-4359,2026-12-16,2027-01-11,,Open,Preventive,NC-00591,Production,Injection Molding,Major,Raw Material,Ana Silva,Pending
CAPA-4360,2026-12-18,2027-01-19,,Open,Corrective,NC-00592,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Pending
CAPA-4361,2025-07-30,2025-09-14,2025-08-11,Closed,Corrective,NC-00596,Production,injection molding,Major,Man (Operator),Sandra Reis,Effective
